ACTION,TIMESTAMP
INSERT on Planet,2024-05-22 19:36:22
INSERT on Star,2024-05-22 19:43:50
INSERT on Star,2024-05-22 19:43:50
Select on Star,2024-05-22 20:40:21
Select on Star,2024-05-22 21:03:01
DELETE on Star,2024-05-22 21:12:38
Select on Star,2024-05-22 21:14:55
Select on Star,2024-05-23 09:25:38
Select on Star,2024-05-23 09:26:16
Select on Star,2024-05-23 09:34:21
INSERT on Satellite,2024-05-23 09:52:29
INSERT on Satellite,2024-05-23 09:52:56
INSERT on Spaceship,2024-05-23 09:54:11
INSERT on Spaceship,2024-05-23 09:54:36
INSERT on Planet,2024-05-23 10:03:59
UPDATE on Planet,2024-05-23 10:03:59
SELECT on Planet,2024-05-23 10:03:59
DELETE on Planet,2024-05-23 10:03:59
INSERT on Star,2024-05-23 10:03:59
UPDATE on Star,2024-05-23 10:03:59
Select on Star,2024-05-23 10:03:59
DELETE on Star,2024-05-23 10:03:59
INSERT on Satellite,2024-05-23 10:03:59
UPDATE on Satellite,2024-05-23 10:03:59
SELECT on Satellite,2024-05-23 10:03:59
DELETE on Satellite,2024-05-23 10:03:59
INSERT on Spaceship,2024-05-23 10:03:59
INSERT on Planet,2024-05-23 10:07:47
UPDATE on Planet,2024-05-23 10:07:47
SELECT on Planet,2024-05-23 10:07:47
INSERT on Star,2024-05-23 10:07:47
UPDATE on Star,2024-05-23 10:07:47
Select on Star,2024-05-23 10:07:47
INSERT on Satellite,2024-05-23 10:07:47
UPDATE on Satellite,2024-05-23 10:07:47
SELECT on Satellite,2024-05-23 10:07:47
INSERT on Spaceship,2024-05-23 10:07:47
INSERT on Spaceship,2024-05-23 10:10:26
INSERT on Planet,2024-05-23 10:11:18
UPDATE on Planet,2024-05-23 10:11:18
SELECT on Planet,2024-05-23 10:11:18
INSERT on Star,2024-05-23 10:11:18
UPDATE on Star,2024-05-23 10:11:18
Select on Star,2024-05-23 10:11:18
INSERT on Satellite,2024-05-23 10:11:18
UPDATE on Satellite,2024-05-23 10:11:18
SELECT on Satellite,2024-05-23 10:11:18
INSERT on Spaceship,2024-05-23 10:11:18
INSERT on Planet,2024-05-23 10:14:27
UPDATE on Planet,2024-05-23 10:14:27
SELECT on Planet,2024-05-23 10:14:27
INSERT on Star,2024-05-23 10:14:27
UPDATE on Star,2024-05-23 10:14:27
Select on Star,2024-05-23 10:14:27
INSERT on Satellite,2024-05-23 10:14:27
UPDATE on Satellite,2024-05-23 10:14:27
SELECT on Satellite,2024-05-23 10:14:27
INSERT on Spaceship,2024-05-23 10:14:27
SELECT on SpaceShip,2024-05-23 10:14:27
INSERT on Planet,2024-05-23 10:17:40
UPDATE on Planet,2024-05-23 10:17:40
SELECT on Planet,2024-05-23 10:17:40
INSERT on Star,2024-05-23 10:17:40
UPDATE on Star,2024-05-23 10:17:40
Select on Star,2024-05-23 10:17:40
INSERT on Satellite,2024-05-23 10:17:40
UPDATE on Satellite,2024-05-23 10:17:40
SELECT on Satellite,2024-05-23 10:17:40
INSERT on Planet,2024-05-23 10:18:56
UPDATE on Planet,2024-05-23 10:18:56
SELECT on Planet,2024-05-23 10:18:56
INSERT on Star,2024-05-23 10:18:56
UPDATE on Star,2024-05-23 10:18:56
Select on Star,2024-05-23 10:18:56
INSERT on Satellite,2024-05-23 10:18:56
UPDATE on Satellite,2024-05-23 10:18:56
SELECT on Satellite,2024-05-23 10:18:56
INSERT on Spaceship,2024-05-23 10:18:56
UPDATE on Spaceship,2024-05-23 10:18:56
SELECT on SpaceShip,2024-05-23 10:18:56
DELETE on Spaceship,2024-05-23 10:18:56
